Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
,"ОАК (общий анализ крови), СРБ, Глюкоза, АЛТ, АСТ, Липаза, Билирубин прямой, Билирубин общий, Ферритин, Витамин Д, Общий белок, Альбумин, ТТГ, Т3 свободный, Т4 свободный, Витамин В9, Витамин В12, Антиген HbsAg,
 Гепатит С. Антитела IgM+IgG , Аскариды. Антитела IgG, Лямблии. Антитела IgМ и IgG к лямблиям",,,
15-046,Эндокринологический check-up: standard,"40,5",36450,1-3
,"ОАК+СОЭ, анти-ТГ, анти-ТПО, витамины В9, В12, Д, глюкоза, инсулин, об.белок, св. Т4/Т3, ТТГ, ферритин",,,
15-047,Эндокринологический check-up: premium,"61,25",55125,1-3
,"ОАК+СОЭ, анти-ТПО, витамины Д, глюкоза, инсулин, об.белок, св. Т4/Т3, ТТГ, ферритин, АЛТ, АСТ, альбумин, билирубин общий/прямой, глик.гемоглобин, гомоцистеин, кальций ионизированный, липидограмма стандартная, ОАМ, мочевая кислота, ТГ",,,
16-051,Гинекологический check-up,"69,9",62910,3-4
,"Аланинаминотрансфераза (АЛТ), Антитела к тиреопероксидазе (анти- ТПО), Аспартатаминотрансфераза (АСТ), Витамин B9 (фолиевая кислота), Витамин В12 (цианокобаламин), Витамин Д (25-гидроксивитамин D), Гомоцистеин, Железо (Fe) в сыворотке, Измерение скорости оседания эритроцитов (СОЭ) в крови, Инсулин, Кортизол (утро), Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты, Липидограмма (Холестерин, ЛПВП, ЛПНП, триглицериды, коэфф. атерогенности), Лютеинизирующий гормон (ЛГ), Общий белок, Пролактин + макропролактин (проводится при выявлении повышенного уровня пролактина), Тироксин свободный (FТ4), Трансферрин, Трийодтиронин свободный (FТ3), ТТГ (тиреотропный гормон), Ферритин, Фолликулостимулирующий гормон (ФСГ), Эстрадиол",,,
16-002,Check-up: тест на стресс,"63,7",57330,8-10
,"Альбумин, Антитела к тиреопероксидазе (анти- ТПО), Витамин Д (25-гидроксивитамин D), Гомоцистеин, Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты), липидограмма (Холестерин, ЛПВП, ЛПНП, триглицериды, коэфф. атерогенности), общий белок, С-реактивный белок (СРБ), тестостерон, тироксин свободный (FТ4), Трийодтиронин свободный (FТ3), ТТГ (тиреотропный гормон), Ферритин, Кортизол в слюне (4 взятия, ВЭЖХ), соотношение к ДГЭА",,,
16-003,Комплексная оценка витаминов для детей,"51,45",46305,9-11
,"Об.белок, альбумин, железо, магний, кальций, йод, витамины В9, жирорастворимые (A, D, E, K)",,,
15-019,Комплексная оценка витаминов для женщин,"59,15",53235,9-11
,"Об.белок, альбумин, витамины жирорастворимые (A, D, E, K), В9, железо, селен, цинк, общий кальций",,,
15-023,Комплексная оценка витаминов для мужчин,"54,55",49095,9-11
,"Об.белок, альбумин, витамины жирорастворимые (A, D, E, K), В9, В12, железо, цинк, магний, медь, общий кальций",,,
15-050,Иммунограмма (клеточное и гуморальное звено),"31,25",28125,10-12
,Иммунограмма (клеточное звено-10 показателей); Иммуноглобулин G (IgG); Иммуноглобулин А (IgA); Иммуноглобулин М (IgM),,,
15-205,Поддержка иммунитета,"39,55",35595,8-10
,"Железо, цинк, витамины В9, В12, Д, об.белок, альбумин, йод, ОАК, СРБ, ферритин, селен",,,
15-028,Свобода движения в суставах,"35,4",31860,6-8
,ОАК; ОАМ; Фибриноген; С-реактивный белок (СРБ); Ревматоидный фактор; Антистрептолизин-О; Мочевая кислота в сыворотке; Антитела к денатурированной ДНК; Антитела к нативной ДНК; Общий белок; Иммуноглобулин G; Иммуноглобулин А; Иммуноглобулин М; Хламидиии (C trachomatis); Реакция Райта -Хеддельсона,,,
15-076,"Ревматологический комплекс (антитела к бруцеллам, хламидиям, иерсиниям и общеклинические анализы)",21,18900,5-7
,"Антистрептолизин- О (АСЛ-О), Антитела IgA,IgG к хламидиям трахоматис, бруцеллезу, Антитела IgG к иерсиниозу и псевдотуберкулезу, ОАК, ОАМ, Ревматоидный фактор (РФ), С-реактивный белок (СРБ)",,,
15-103,Маркеры аутоиммунной патологии щитовидной железы,"16,95",15255,1-3
,"Антитела к рецепторам ТТГ, антитела к ТПО, антитела к ТГ",,,
15-065,Обследование на аутоиммунные заболевания соединительной ткани,"42,3",38070,6-8
